team,rank_in_team,player_name,club,position,goals_per90,xg_per90,blended_per90,xg_imputed,manual_source,total_minutes
Albania,1,Armando Broja,Everton,F S,0.11056511056511056,0.2867846173309797,0.19867486394804512,False,False,814
Argentina,1,Lautaro Martínez,Inter,F,0.6121292272813149,0.5932553880931568,0.6026923076872359,False,False,5293
Argentina,2,Julián Álvarez,Atletico Madrid,F M S,0.48229665071770333,0.49147524721653124,0.4868859489671173,False,False,5225
Argentina,3,Rodrigo de Paul,Atletico Madrid,M S,0.12631578947368421,0.0817060294708139,0.10401090947224906,False,False,4275
Austria,1,Marko Arnautovic,Inter,F S,0.6333072713057076,0.7098012953192765,0.6715542833124921,False,False,1279
Austria,2,Michael Gregoritsch,Freiburg,F S,0.35479632063074895,0.5235845672453749,0.43919044393806195,False,False,2283
Austria,3,Christoph Baumgartner,RasenBallsport Leipzig,F M S,0.23144746509919176,0.3051046553032964,0.26827606020124406,False,False,2722
Belgium,1,Loïs Openda,RasenBallsport Leipzig,F M S,0.5645314578977381,0.594944375662908,0.579737916780323,False,False,5261
Belgium,2,Romelu Lukaku,Napoli,F S,0.43564001434205807,0.40495641582821457,0.4202982150851363,False,False,5578
Belgium,3,Leandro Trossard,Arsenal,F M S,0.4267425320056899,0.39085067897388553,0.4087966054897877,False,False,4218
Brazil,1,Vinícius Júnior,Real Madrid,F M S,0.5612856800191892,0.6211739446289621,0.5912298123240757,False,False,4169
Brazil,2,Endrick,Real Madrid,F S,0.2777777777777778,0.813391729671922,0.5455847537248499,False,False,324
Brazil,3,Raphinha,Barcelona,F M S,0.5085943018601365,0.57212583462361,0.5403600682418732,False,False,4247
Canada,1,Cyle Larin,Mallorca,F S,0.24896265560165975,0.39584486199643354,0.32240375879904665,False,False,3615
Canada,2,Tajon Buchanan,Inter,S,0.2926829268292683,0.1806435304262289,0.23666322862774858,False,False,615
Chile,1,Ben Brereton Díaz,Southampton,F M S,0.2995008319467554,0.38038650939795815,0.33994367067235676,False,False,1803
