team,rank_in_team,player_name,club,position,goals_per90,xg_per90,blended_per90,xg_imputed,manual_source,total_minutes,within_top3_share,goal_share
Albania,1,Armando Broja,Everton,F S,0.1105651105651105,0.2867846173309797,0.1986748639480451,False,False,814,1.0,0.65
Argentina,1,Lionel Messi,Inter Miami,F,0.9,0.9,0.9,True,True,4300,0.452357175190197,0.29403216387362807
Argentina,2,Lautaro Martínez,Inter,F,0.6121292272813149,0.5932553880931568,0.6026923076872359,False,False,5293,0.3029246553491768,0.1969010259769649
Argentina,3,Julián Álvarez,Atletico Madrid,F M S,0.4822966507177033,0.4914752472165312,0.4868859489671173,False,False,5225,0.24471816946062622,0.15906681014940705
Australia,1,Mitch Duke,Machida Zelvia,F,0.3,0.3,0.3,True,True,2000,1.0,0.65
Austria,1,Marko Arnautovic,Inter,F S,0.6333072713057076,0.7098012953192765,0.6715542833124921,False,False,1279,0.4869790864816571,0.3165364062130771
Austria,2,Michael Gregoritsch,Freiburg,F S,0.3547963206307489,0.5235845672453749,0.4391904439380619,False,False,2283,0.31847993005936703,0.2070119545385886
Austria,3,Christoph Baumgartner,RasenBallsport Leipzig,F M S,0.2314474650991917,0.3051046553032964,0.268276060201244,False,False,2722,0.19454098345897577,0.12645163924833425
Belgium,1,Loïs Openda,RasenBallsport Leipzig,F M S,0.5645314578977381,0.594944375662908,0.579737916780323,False,False,5261,0.41150230357980255,0.2674764973268717
Belgium,2,Romelu Lukaku,Napoli,F S,0.435640014342058,0.4049564158282145,0.4202982150851363,False,False,5578,0.29833081241010034,0.19391502806656524
Belgium,3,Leandro Trossard,Arsenal,F M S,0.4267425320056899,0.3908506789738855,0.4087966054897877,False,False,4218,0.2901668840100972,0.1886084746065632
Brazil,1,Vinícius Júnior,Real Madrid,F M S,0.5612856800191892,0.6211739446289621,0.5912298123240757,False,False,4169,0.3525153554293289,0.22913498102906377
Brazil,2,Endrick,Real Madrid,F S,0.2777777777777778,0.813391729671922,0.5455847537248499,False,False,324,0.3252999076959884,0.21144494000239245
Brazil,3,Raphinha,Barcelona,F M S,0.5085943018601365,0.57212583462361,0.5403600682418732,False,False,4247,0.3221847368746827,0.20942007896854375
Canada,1,Cyle Larin,Mallorca,F S,0.2489626556016597,0.3958448619964335,0.3224037587990466,False,False,3615,0.5766818038800092,0.374843172522006
Canada,2,Tajon Buchanan,Inter,S,0.2926829268292683,0.1806435304262289,0.2366632286277485,False,False,615,0.4233181961199909,0.2751568274779941
Chile,1,Ben Brereton Díaz,Southampton,F M S,0.2995008319467554,0.3803865093979581,0.3399436706723567,False,False,1803,0.5962171088219108,0.387541120734242
Chile,2,Alexis Sánchez,Udinese,F S,0.156385751520417,0.3040620825009875,0.2302239170107022,False,False,1151,0.4037828911780892,0.262458879265758
Colombia,1,Jhon Durán,Aston Villa,F S,1.128526645768025,0.6628513932344868,0.8956890195012559,False,False,957,0.4955630839612312,0.32211600457480033
Colombia,2,Falcao,Rayo Vallecano,F S,0.2727272727272727,0.7412548957561904,0.5069910842417316,False,False,330,0.28050591195991387,0.182328842773944
Colombia,3,Luis Díaz,Liverpool,F M S,0.3677758318739054,0.4416974641434887,0.4047366480086971,False,False,5139,0.22393100407885486,0.14555515265125565
Costa Rica,1,Manfred Ugalde,Spartak Moscow,F,0.64,0.64,0.64,True,True,2400,1.0,0.65
Croatia,1,Andrej Kramaric,Hoffenheim,F M,0.4651162790697674,0.4450221213617084,0.4550692002157379,False,False,5031,0.8357373009370854,0.5432292456091056
Croatia,2,Luka Modric,Real Madrid,M S,0.1044386422976501,0.0744474622330995,0.0894430522653748,False,False,3447,0.16426269906291463,0.1067707543908945
Côte d'Ivoire,1,Nicolas Pepe,Villarreal,F M S,0.1820633850303439,0.320577914120073,0.2513206495752084,False,False,1483,0.8269881426119212,0.5375422926977488
Côte d'Ivoire,2,Sébastien Haller,Leganes,F S,0.0,0.1051561688554698,0.0525780844277349,False,False,783,0.17301185738807873,0.11245770730225117
Denmark,1,Rasmus Højlund,Manchester United,F S,0.297029702970297,0.3225752626989653,0.3098024828346312,False,False,4242,0.660120795238244,0.4290785169048586
Denmark,2,Andreas Skov Olsen,Wolfsburg,D F M S,0.1711026615969581,0.1479159854706589,0.1595093235338085,False,False,526,0.339879204761756,0.2209214830951414
Ecuador,1,Enner Valencia,Pachuca,F,0.46,0.46,0.46,True,True,986,0.9555051588054007,0.6210783532235105
Ecuador,2,Moisés Caicedo,Chelsea,D M,0.0286715514495062,0.0141699272403733,0.0214207393449397,False,False,6278,0.04449484119459935,0.02892164677648958
Egypt,1,Mohamed Salah,Liverpool,F M,0.711163416274378,0.7512237339593074,0.7311935751168427,False,False,5948,0.43991292476652427,0.2859434010982408
Egypt,2,Omar Marmoush,Eintracht Frankfurt,F M,0.610900379317229,0.4942947815687957,0.5525975804430123,False,False,5009,0.33246301130688183,0.21610095734947318
Egypt,3,Mostafa Mohamed,Nantes,F S,0.3580171358629131,0.3986655788968067,0.3783413573798599,False,False,3268,0.22762406392659396,0.14795564155228608
England,1,Harry Kane,Bayern Munich,F S,1.0620479634564142,0.9927552893791854,1.0274016264178,False,False,5254,0.5051188826371051,0.32832727371411835
England,2,Ollie Watkins,Aston Villa,F S,0.5324543610547667,0.5765272317261532,0.55449079639046,False,False,5916,0.27261371240170656,0.17719891306110927
England,3,Bukayo Saka,Arsenal,F M S,0.4165790027351146,0.4875958408763001,0.4520874218057074,False,False,4753,0.2222674049611882,0.14447381322477232
France,1,Kylian Mbappe-Lottin,Real Madrid,F,1.0271546635183,0.9109883778865988,0.9690715207024494,False,False,5082,0.43975882451976583,0.28584323593784783
France,2,Ousmane Dembélé,Paris Saint Germain,F M S,0.6607525237075558,0.6608309543729467,0.6607917390402512,False,False,3269,0.299863314734576,0.1949111545774744
France,3,Olivier Giroud,AC Milan,F S,0.5632040050062578,0.5843557727678175,0.5737798888870376,False,False,2397,0.2603778607456581,0.1692456094846778
Germany,1,Serge Gnabry,Bayern Munich,F M S,0.546448087431694,0.6398657088478407,0.5931568981397674,False,False,1647,0.38433031262030665,0.24981470320319932
Germany,2,Leroy Sané,Bayern Munich,M S,0.4527402700555997,0.5081944216584241,0.4804673458570119,False,False,3777,0.31131420003070215,0.2023542300199564
Germany,3,Kai Havertz,Arsenal,F M S,0.4369896270139042,0.5024655805491659,0.469727603781535,False,False,4531,0.30435548734899126,0.19783106677684434
Honduras,1,Anthony Lozano,Almeria,F S,0.3199052132701421,0.5032811063160829,0.4115931597931125,False,False,844,1.0,0.65
Iran,1,Sardar Azmoun,Roma,F M S,0.5113636363636364,0.4360011216803369,0.4736823790219866,False,False,528,0.6552627822695108,0.42592080847518204
Iran,2,Mehdi Taremi,Inter,F S,0.115236875800256,0.3831767373349847,0.2492068065676203,False,False,781,0.34473721773048915,0.22407919152481795
Italy,1,Gianluca Scamacca,Atalanta,S,0.7463718037318591,0.522488311947463,0.6344300578396611,False,False,1447,0.3701099604777479,0.24057147431053616
Italy,2,Mateo Retegui,Atalanta,F S,0.6167023554603854,0.5804912949966096,0.5985968252284974,False,False,4670,0.34920578650044953,0.2269837612252922
Italy,3,Ciro Immobile,Lazio,F S,0.3761194029850745,0.5861596270061251,0.4811395149955998,False,False,1675,0.2806842530218025,0.18244476446417163
Jamaica,1,Leon Bailey,Aston Villa,M S,0.3033088235294117,0.2573549677960245,0.2803318956627181,False,False,3264,0.5060087370995653,0.32890567911471746
Jamaica,2,Michail Antonio,West Ham,F S,0.2391799544419134,0.3081683303464993,0.2736741423942064,False,False,2634,0.49399126290043466,0.32109432088528256
Japan,1,Takumi Minamino,Monaco,M S,0.3252032520325203,0.3414848603959369,0.3333440562142286,False,False,4428,0.36728038207124253,0.23873224834630766
Japan,2,Kaoru Mitoma,Brighton,F M S,0.2860635696821516,0.3279330582428532,0.3069983139625024,False,False,4090,0.33825249301853993,0.21986412046205098
Japan,3,Ritsu Doan,Freiburg,F M S,0.2962245885769603,0.2382927482094821,0.2672586683932212,False,False,5165,0.2944671249102175,0.19140363119164136
Korea Republic,1,Son Heung-Min,Tottenham,F M S,0.4215456674473068,0.3668389443321201,0.3941923058897135,False,False,5124,0.5088389398292148,0.3307453108889896
Korea Republic,2,Hee-Chan Hwang,Wolverhampton Wanderers,F M S,0.4537270435722002,0.3072678242220825,0.3804974338971414,False,False,2777,0.4911610601707853,0.31925468911101046
Mexico,1,Santiago Giménez,AC Milan,F S,0.6766917293233082,0.60361639723966,0.6401540632814842,False,False,665,0.588101900355363,0.38226623523098596
Mexico,2,Raúl Jiménez,Fulham,F S,0.4324734446130501,0.4642359249234448,0.4483546847682474,False,False,3954,0.41189809964463703,0.26773376476901406
Morocco,1,Youssef En-Nesyri,Sevilla,F S,0.5581395348837209,0.4670288572087884,0.5125841960462547,False,False,2580,1.0,0.65
Netherlands,1,Donyell Malen,Borussia Dortmund,D M S,0.6418918918918919,0.5277583738663107,0.5848251328791013,False,False,2664,0.3633591619591566,0.23618345527345178
Netherlands,2,Memphis Depay,Atletico Madrid,F S,0.5172413793103449,0.6502877842506458,0.5837645817804953,False,False,870,0.3627002283108928,0.23575514840208034
Netherlands,3,Cody Gakpo,Liverpool,F M S,0.4487534626038781,0.4330591914241416,0.4409063270140099,False,False,3610,0.2739406097299507,0.17806139632446796
New Zealand,1,Chris Wood,Nottingham Forest,F S,0.6347230864965775,0.5414360990445289,0.5880795927705532,False,False,4821,1.0,0.65
Nigeria,1,Victor Osimhen,Napoli,F S,0.6699751861042184,0.7627849796920941,0.7163800828981562,False,False,2015,0.5411520168498019,0.3517488109523712
Nigeria,2,Paul Onuachu,Southampton,F S,0.354679802955665,0.4333066561630941,0.3939932295593795,False,False,1015,0.2976216618679167,0.19345408021414587
Nigeria,3,Samuel Chukwueze,AC Milan,F M S,0.187402394586153,0.2394622268483919,0.2134323107172724,False,False,1921,0.16122632128228143,0.10479710883348294
Panama,1,Ismael Diaz,Club deportivo,F,0.4,0.4,0.4,True,True,1800,1.0,0.65
Paraguay,1,Miguel Almirón,Newcastle United,F S,0.1282660332541567,0.2400811912133546,0.1841736122337557,False,False,2105,1.0,0.65
Peru,1,Gianluca Lapadula,Cagliari,F S,0.1819407008086253,0.3956348387740371,0.2887877697913312,False,False,1484,1.0,0.65
Poland,1,Robert Lewandowski,Barcelona,F S,0.7536865101037684,0.7754621442645414,0.764574327184155,False,False,5493,0.4671373726962046,0.303639292252533
Poland,2,Arkadiusz Milik,Juventus,F S,0.4195804195804196,0.565809211107557,0.4926948153439883,False,False,858,0.30102522854576186,0.1956663985547452
Poland,3,Karol Swiderski,Verona,F M S,0.371900826446281,0.3870062254492409,0.3794535259477609,False,False,484,0.2318373987580335,0.15069430919272178
Portugal,1,Cristiano Ronaldo,Al-Nassr,F,0.88,0.88,0.88,True,True,2550,0.3714934861380325,0.24147076598972114
Portugal,2,Gonçalo Ramos,Paris Saint Germain,F S,0.7624041952400161,0.9551191496159004,0.8587616724279582,False,False,2479,0.3625276902863515,0.23564299868612848
Portugal,3,Diogo Jota,Liverpool,F S,0.6122448979591837,0.6478652976719397,0.6300550978155617,False,False,2352,0.265978823575616,0.1728862353241504
Saudi Arabia,1,Firas Al-Buraikan,Al-Ahli,F,0.35,0.35,0.35,True,True,2200,1.0,0.65
Senegal,1,Nicolas Jackson,Chelsea,F S,0.4225352112676056,0.5932159300460677,0.5078755706568366,False,False,5112,0.4487825565582677,0.291708661762874
Senegal,2,Boulaye Dia,Lazio,F M S,0.3488372093023256,0.3085126513565269,0.3286749303294262,False,False,3354,0.2904325075511777,0.18878112990826554
